,index,time,mod_B,Bx,By,Bz,r_sat,posX,posY,posZ
1,73626,20.451805555555556,46.79093983881922,-37.958999999999996,24.109,12.932999999999998,456.233005109833,21.162,-2194.0091,3158.388
2,73627,20.45208333333333,46.82062841312576,-38.157,23.889999999999997,12.863999999999999,457.13581638547737,24.7845,-2195.6504,3158.3205
3,73628,20.45236111111111,46.88805625103263,-38.355000000000004,23.705000000000002,12.863,458.0395612640585,28.407,-2197.2900999999997,3158.2505
4,73629,20.452638888888888,46.9063264496379,-38.481,23.503999999999998,12.922,458.94440254729597,32.0295,-2198.9282,3158.1782
5,73630,20.452916666666667,46.86557108368573,-38.6,23.212,12.947,459.85019726467743,35.652,-2200.5646,3158.1035
6,73631,20.453194444444442,46.84725025014809,-38.666000000000004,23.035999999999998,12.998,460.75694225217086,39.2744,-2202.1993,3158.0263999999997
7,73632,20.453472222222224,46.83508984725021,-38.766,22.831,13.018,461.66477606171867,42.8969,-2203.8324000000002,3157.9469999999997
8,73633,20.45375,46.840296882065125,-38.943999999999996,22.576,12.95,462.57361162329636,46.5193,-2205.4638999999997,3157.8652
9,73634,20.454027777777775,46.89108404590365,-39.123000000000005,22.397,12.905000000000001,463.48352932140614,50.1417,-2207.0938,3157.7810999999997
10,73635,20.454305555555553,46.94086178373806,-39.335,22.158,12.854,464.3943859583293,53.763999999999996,-2208.722,3157.6946
11,73636,20.454583333333332,46.96847310696825,-39.565,21.871,12.739999999999998,465.3062393693126,57.3864,-2210.3486000000003,3157.6057
12,73637,20.45486111111111,47.01587333018499,-39.772,21.645000000000003,12.656,466.2190264084308,61.0087,-2211.9735,3157.5144
13,73638,20.45513888888889,47.077105741538524,-39.896,21.561999999999998,12.635,467.13288474842847,64.631,-2213.5968000000003,3157.4208
14,73639,20.455416666666668,47.16721805449204,-39.894999999999996,21.665,12.797,468.04775307322353,68.25319999999999,-2215.2184,3157.3249
15,73640,20.45569444444444,47.266622832607794,-39.872,21.771,13.053,468.9636055553521,71.8754,-2216.8383999999996,3157.2266
16,73641,20.455972222222222,47.30660563811359,-39.806,21.826,13.305000000000001,469.8804373055391,75.49749999999999,-2218.4568,3157.1259
17,73642,20.456249999999997,47.330322775151245,-39.594,22.047,13.653,470.79827067404386,79.11949999999999,-2220.0735,3157.0229
18,73643,20.456527777777776,47.34373117953421,-39.245,22.416,14.099,471.7170802899576,82.7415,-2221.6886,3156.9175
19,73644,20.456805555555555,47.324465987478405,-38.944,22.651,14.488,472.6368852363295,86.36339999999998,-2223.302,3156.8098
20,73645,20.457083333333333,47.282010173003435,-38.623000000000005,22.878999999999998,14.845999999999998,473.55766109950457,89.9853,-2224.9138,3156.6997
21,73646,20.45736111111111,47.26077497248644,-38.259,23.180999999999997,15.247,474.4794250633616,93.607,-2226.5239,3156.5873
22,73647,20.457638888888887,47.22571174688636,-37.92700000000001,23.395,15.636000000000001,475.4022364032844,97.2287,-2228.1324,3156.4726
23,73648,20.457916666666666,47.18116295726506,-37.652,23.505000000000003,15.996999999999996,476.3259503007157,100.85029999999999,-2229.7392,3156.3555
24,73649,20.45819444444444,47.11351883483126,-37.512,23.452,16.203,477.25062167645103,104.4718,-2231.3444,3156.236
25,73650,20.458472222222223,47.03110992736617,-37.375,23.419999999999998,16.326,478.1762750427256,108.0933,-2232.9479,3156.1142
26,73651,20.45875,46.95856250994061,-37.307,23.338,16.389999999999997,479.10296482918767,111.7148,-2234.5498,3155.9901
27,73652,20.459027777777777,46.91096951673457,-37.406,23.081,16.392,480.0306277383555,115.3362,-2236.15,3155.8637000000003
28,73653,20.459305555555556,46.908121951320965,-37.646,22.683,16.389999999999997,480.95923785989015,118.95750000000001,-2237.7486,3155.7349
29,73654,20.45958333333333,46.935930085596475,-37.89,22.333000000000002,16.387999999999998,481.8888148934382,122.5787,-2239.3455,3155.6038
30,73655,20.459861111111113,46.96257199089504,-38.044,22.144,16.364,482.8194150849322,126.19979999999998,-2240.9408,3155.4704
31,73656,20.46013888888889,47.00908373920937,-38.20399999999999,21.997,16.323,483.75098068562755,129.8209,-2242.5343999999996,3155.3347
32,73657,20.460416666666667,47.054075870215534,-38.263999999999996,21.942,16.386,484.6834789068427,133.4418,-2244.1264,3155.1966
33,73658,20.460694444444446,47.07571417408343,-38.26,21.937,16.464,485.61699530898187,137.0627,-2245.7168,3155.0562
34,73659,20.46097222222222,47.09788365733645,-38.302,21.9,16.479000000000003,486.5514653838744,140.68349999999998,-2247.3055,3154.9134999999997
35,73660,20.46125,47.142484491167835,-38.428,21.762,16.496,487.48694118164093,144.3041,-2248.8926,3154.7685
36,73661,20.46152777777778,47.19787476147628,-38.596999999999994,21.547,16.541999999999998,488.423365369366,147.9246,-2250.478,3154.6212
37,73662,20.461805555555557,47.21351221843171,-38.738,21.324,16.546,489.3607115576682,151.54500000000002,-2252.0618000000004,3154.4715
38,73663,20.462083333333332,47.17307827564362,-38.872,21.061,16.452999999999996,490.29900100232663,155.1653,-2253.6439,3154.3195
39,73664,20.462361111111107,47.0973046362528,-39.001999999999995,20.746000000000002,16.328,491.23828767829093,158.7855,-2255.2244,3154.1652000000004
40,73665,20.462638888888886,47.04920737908344,-39.207,20.279,16.285,492.1785702419037,162.4056,-2256.8033000000005,3154.0086
41,73666,20.462916666666665,46.98976580065068,-39.471,19.6,16.307000000000002,493.1197065230646,166.0256,-2258.3805,3153.8496
42,73667,20.463194444444444,46.92930851823837,-39.798,18.813,16.265,494.0619138523829,169.6455,-2259.9561000000003,3153.6884
43,73668,20.46347222222222,46.899293097018,-40.154,18.003999999999998,16.219,495.00504607134826,173.2652,-2261.5299999999997,3153.5249
44,73669,20.463749999999997,46.84303568301269,-40.394,17.31,16.216,495.9491626145242,176.88479999999998,-2263.1023,3153.3591
45,73670,20.46402777777778,46.782363717537834,-40.563,16.781,16.175,496.89412160022766,180.5043,-2264.6729,3153.1909
46,73671,20.464305555555555,46.73183107904077,-40.720000000000006,16.32,16.106,497.840059960001,184.12369999999999,-2266.2419,3153.0204000000003
47,73672,20.46458333333333,46.70212335643852,-40.874,15.934999999999999,16.015,498.786969738834,187.7429,-2267.8093,3152.8476
