yyyy-mm-dd,BS time,MPB time,ThetaBn (deg) (Cyril),beta_proton (Halekas),Pdyn_proton (Halekas),
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2015-12-28,1:18:38,0:22:19,41.5,0.898,0.154,2:40:41
2016-01-24,0:41:13,1:02:14,71.8,1.09,0.303,23/23:31:26
2016-01-15,1:49:25,1:20:50,28.9,2.02,0.44,3:19:10
2015-12-30,2:29:32,1:42:30,79.1,1.206,0.436,3:43:52
2015-12-17,2:47:25,1:43:31,78,3.614,0.628,3:29:03
2015-12-20,2:47:03,2:02:00,25,2.291,0.401,4:25:31
2015-12-29,1:43:15,2:16:02,68.8,0.886,0.38,0:27:10
2015-12-16,3:34:03,2:49:35,66.6,2.263,0.841,4:39:51
2016-01-13,2:50:52,3:22:25,81.2,0.787,0.237,1:42:58
2015-12-25,2:54:03,3:22:26,83.6,2.067,0.978,1:44:52
2015-12-28,2:53:08,3:32:21,63.6,0.898,0.154,2:40:41
2015-12-22,4:53:21,3:54:24,86,2.397,0.259,5:51:11
2015-12-31,3:34:10,3:58:32,29,4.704,0.702,2:14:03
2015-09-21,4:22:17,4:32:29,63,20,0.234,3:45:46
2015-09-13,4:56:04,5:04:59,33.5,0.344,0.199,3:48:05
2016-01-31,6:00:35,5:21:10,86.9,1.206,0.389,7:01:29
2015-10-05,5:04:24,5:22:09,80.3,0.606,0.457,4:36:34
2015-12-30,5:04:00,5:24:58,39,1.206,0.436,3:43:52
2015-12-20,4:55:36,5:41:07,75.9,2.291,0.401,4:25:31
2016-01-15,6:12:42,5:50:23,19.5,5.384,0.549,7:45:06
2015-09-16,5:50:24,6:08:37,85.7,0.46,0.843,5:03:58
2015-09-04,6:09:11,6:30:06,77.5,1.002,1.061,5:33:55
2015-10-07,7:04:38,7:23:57,69,0.736,1.155,6:29:25
2016-01-07,7:00:27,7:28:20,23,0.694,0.456,5:35:30
2015-09-07,7:37:51,7:46:28,82.8,0.718,0.332,6:24:34
2016-01-07,9:20:07,8:19:50,37.4,0.933,0.264,10:32:00
2015-12-25,9:21:18,8:44:48,14.1,1.599,0.724,11:06:46
2016-01-16,9:36:42,8:59:38,39.3,7.006,0.457,11:03:20
2015-10-02,8:56:30,9:12:38,68.6,4.859,1.689,8:18:43
2015-09-13,9:28:20,9:35:28,8.7,0.407,0.407,8:03:20
2016-01-05,9:19:51,9:56:30,23,1.234,0.398,8:35:56
2015-12-24,10:38:14,10:10:30,32.7,1.779,0.395,11:35:19
2016-01-15,11:03:26,10:27:29,36.8,2.737,0.54,12:30:18
2016-01-11,10:23:48,10:46:32,75.5,1.009,0.431,9:22:03
2015-09-12,10:42:32,10:51:06,35.2,0.491,0.244,9:09:15
2015-12-20,11:56:18,11:06:15,38,2.533,0.334,13:05:56
2015-10-04,10:51:34,11:09:15,66.4,1.322,0.178,9:59:13
2015-12-29,11:03:32,11:13:15,34.5,1.156,0.251,9:35:55
2015-09-23,11:04:25,11:17:17,69.3,1.609,1.142,10:11:33
2016-01-07,11:32:41,11:54:55,76.6,0.933,0.264,10:32:00
2015-09-18,12:34:38,12:42:11,34.4,1.018,0.258,11:36:50
2015-12-18,12:08:27,12:58:44,76.9,2.863,1.553,11:27:19
2015-09-14,12:51:52,13:00:48,26.9,1.979,0.2,11:41:11
2015-12-25,14:04:57,13:09:33,23.1,0.93,0.496,15:31:36
2015-09-21,13:27:37,13:39:01,81.4,1.845,0.199,12:35:15
2015-10-02,13:29:03,13:45:17,77.9,2.419,1.488,13:00:38
2015-09-13,13:51:46,14:11:43,85.4,0.519,0.163,13:20:37
2015-09-09,14:17:17,14:29:15,76.7,0.75,0.841,13:14:11
2015-10-05,14:12:40,14:34:24,75.1,22.969,3.017,13:12:20
2015-09-05,14:23:22,14:34:53,79.9,1.494,0.622,13:18:25
2015-09-20,14:41:08,14:51:42,24.6,7.511,0.327,20:34:23
2015-12-17,16:10:52,15:04:48,83.9,2.776,0.501,16:55:23
2015-10-04,15:23:15,15:43:30,79.9,2.663,0.223,15:06:18
2015-09-15,16:14:45,16:24:48,44,1.264,1.039,15:25:18
2015-09-03,16:28:27,16:42:13,73.9,1.366,0.384,15:21:38
2015-10-14,16:24:19,16:42:33,84.8,0.789,0.651,16:07:51
2015-09-14,17:19:58,17:35:08,44,0.875,0.22,16:05:30
2015-09-06,17:51:47,18:01:58,84.5,0.933,0.458,17:15:08
2015-12-17,18:15:11,18:51:33,30.7,2.776,0.501,16:55:23
2015-09-24,18:49:04,19:08:14,68,1.27,0.72,18:17:25
2016-01-02,20:41:37,19:39:48,72.2,0.979,2.538,21:50:07
2016-01-11,19:23:44,19:48:32,80.2,0.97,0.896,18:08:23
2015-09-08,20:05:06,20:11:49,72.8,9.463,0.329,18:55:42
2015-12-19,22:39:49,21:21:02,35.4,1.126,0.405,23:25:15
2015-09-18,21:40:40,21:51:41,82.2,2.11,0.312,20:48:23
2015-12-21,21:47:03,22:23:13,26.7,1.487,0.288,20:31:54
2015-12-24,22:11:46,22:50:39,80.1,1.493,0.544,21:08:00
2015-09-17,22:51:15,23:02:44,78.3,1.248,0.246,22:20:50
2015-09-01,22:59:19,23:12:42,35.9,0.675,0.414,21:45:17
2015-10-05,23:06:42,23:33:20,76.4,1.119,1.341,22:42:05
