,index,time,mod_B,Bx,By,Bz,r_sat,posX,posY,posZ
940,21696,6.027083333333333,24.066613243246337,6.679,23.056,1.736,1107.7977721962595,3520.0784,-1481.0214,2375.1253
941,21697,6.0273611111111105,24.661617019165636,6.919,23.597,1.8719999999999999,1109.0726155913167,3523.1318999999994,-1480.3099,2373.4551
942,21698,6.027638888888889,25.043576841178258,6.944,23.966,2.143,1110.347707414127,3526.1837,-1479.5977,2371.7837
943,21699,6.027916666666667,25.49431454265833,7.031000000000001,24.392,2.3569999999999998,1111.6231765334126,3529.2339,-1478.8848000000003,2370.1112000000003
944,21700,6.028194444444444,26.122000191409537,6.998,25.019,2.727,1112.8988644373426,3532.2823,-1478.1712000000002,2368.4376
945,21701,6.028472222222222,26.77139058771509,6.804,25.657,3.4829999999999997,1114.1749254095134,3535.3291,-1477.4569,2366.7628999999997
946,21702,6.02875,27.235172589869887,6.544,26.141000000000002,3.947,1115.4513578083674,3538.3742999999995,-1476.7419,2365.0870999999997
947,21703,6.029027777777778,27.242298618141604,6.523999999999999,26.163,3.883,1116.7280811376486,3541.4178,-1476.0261999999998,2363.4102
948,21704,6.029305555555555,26.476305539104203,6.353,25.485,3.339,1118.0051257722612,3544.4595999999997,-1475.3099,2361.7322
949,21705,6.029583333333333,25.723780554187595,6.106,24.845,2.675,1119.282502873193,3547.4998,-1474.5928,2360.0531
950,21706,6.029861111111112,24.95527892050097,5.699,24.168,2.489,1120.5601123835704,3550.5383,-1473.875,2358.3728
951,21707,6.030138888888889,24.206401508691872,5.247999999999999,23.479000000000003,2.673,1121.8380367285722,3553.5750999999996,-1473.1565999999998,2356.6914
952,21708,6.0304166666666665,23.60277740012815,4.88,22.901000000000003,2.9699999999999998,1123.1163723608738,3556.6103000000003,-1472.4374999999998,2355.009
953,21709,6.030694444444444,22.966083100955636,4.51,22.237000000000002,3.5520000000000005,1124.3949341173502,3559.6438000000003,-1471.7176999999997,2353.3254
954,21710,6.030972222222222,22.360272337339726,4.209,21.627000000000002,3.813,1125.6739300259792,3562.6758,-1470.9971999999998,2351.6407
955,21711,6.03125,21.74122264271262,4.3069999999999995,21.032,3.433,1126.9531207355071,3565.7059999999997,-1470.276,2349.9549
956,21712,6.031527777777777,21.413165342844575,4.7090000000000005,20.685000000000002,2.912,1128.232662868377,3568.7346,-1469.5540999999998,2348.268
957,21713,6.031805555555556,21.37278105441592,5.285,20.591,2.2079999999999997,1129.5124750824114,3571.7614999999996,-1468.8315,2346.5800000000004
958,21714,6.0320833333333335,21.621703771904745,5.883,20.729,1.7880000000000003,1130.7926342221795,3574.7868000000003,-1468.1082000000001,2344.8909
959,21715,6.032361111111111,21.900812176720752,6.55,20.845,1.4930000000000003,1132.0730919050698,3577.8104,-1467.3843,2343.2007000000003
960,21716,6.032638888888888,22.12372369200086,7.1129999999999995,20.934,0.7950000000000002,1133.353865395637,3580.8322999999996,-1466.6597,2341.5095
961,21717,6.032916666666667,22.32970673788619,7.858999999999999,20.901,0.011000000000000055,1134.6349795779363,3583.8525999999997,-1465.9344,2339.8172
962,21718,6.033194444444445,22.52227559550766,8.855,20.673,-1.212,1135.9163533596277,3586.8712,-1465.2084,2338.1238000000003
963,21719,6.033472222222222,22.89146830153103,9.584,20.597,-2.816,1137.1980646050754,3589.8882,-1464.4817,2336.4293
964,21720,6.03375,22.86250154729355,9.891,20.236,-3.9200000000000004,1138.4801156846913,3592.9035000000003,-1463.7544,2334.7338
965,21721,6.034027777777778,22.430433031932306,9.749,19.689999999999998,-4.515,1139.7624479316105,3595.9172,-1463.0264,2333.0371
966,21722,6.034305555555556,21.94208750324362,9.674,19.071999999999996,-4.912000000000001,1141.0450836103148,3598.9292,-1462.2977,2331.3394
967,21723,6.034583333333333,21.551249569340523,9.639,18.666,-4.808999999999999,1142.3280010044618,3601.9395000000004,-1461.5683999999999,2329.6405999999997
968,21724,6.034861111111111,21.694690064621803,9.876999999999999,18.768,-4.568,1143.6112457278966,3604.9482,-1460.8384,2327.9407
969,21725,6.0351388888888895,21.66862879833424,9.895999999999999,18.833,-4.1129999999999995,1144.8947870438965,3607.9552000000003,-1460.1077,2326.2398000000003
970,21726,6.035416666666666,21.52815133726071,9.7,18.854,-3.7279999999999993,1146.1786835820544,3610.9606,-1459.3764,2324.5378
971,21727,6.035694444444444,21.47875454955431,9.374,18.965,-3.714,1147.4628215594148,3613.9642999999996,-1458.6444,2322.8347000000003
972,21728,6.035972222222222,21.401002897060685,8.989999999999998,19.048,-3.7889999999999993,1148.7473107721544,3616.9664,-1457.9118,2321.1305
973,21729,6.03625,21.41866520117442,8.973,19.061,-3.8629999999999995,1150.0320890427076,3619.9667999999997,-1457.1785,2319.4253
974,21730,6.036527777777778,21.6377767342211,9.237,19.186999999999998,-3.8379999999999996,1151.3171025861645,3622.9655,-1456.4445,2317.719
975,21731,6.0368055555555555,22.01571495545852,9.445,19.556,-3.6119999999999997,1152.6024806091816,3625.9626000000003,-1455.7098,2316.0117
976,21732,6.037083333333333,22.42669991327302,9.428,20.102,-3.159,1153.8881220572416,3628.958,-1454.9744999999998,2314.3033
977,21733,6.037361111111111,22.744911255047796,9.214,20.625999999999998,-2.646,1155.1740728565048,3631.9518000000003,-1454.2385,2312.5937999999996
978,21734,6.037638888888889,22.85472200662261,9.017,20.884999999999998,-2.202,1156.4603023262498,3634.9438999999998,-1453.5018,2310.8833
979,21735,6.037916666666667,22.9526982291843,9.040000000000001,20.97,-2.316,1157.7468688204117,3637.9343999999996,-1452.7644999999998,2309.1717
980,21736,6.038194444444445,23.027807125299624,9.216000000000001,20.934,-2.667,1159.0336589572503,3640.9231999999997,-1452.0265,2307.459
981,21737,6.0384722222222225,22.98961245867359,9.462,20.686,-3.3289999999999997,1160.32072111842,3643.9103000000005,-1451.2878,2305.7453
982,21738,6.038749999999999,22.980706298980458,9.689000000000002,20.429000000000002,-4.11,1161.6080029285774,3646.8957,-1450.5484000000001,2304.0305
983,21739,6.039027777777777,22.69875086871522,9.641,19.988999999999997,-4.767,1162.8955846618705,3649.8794000000003,-1449.8084,2302.3147
984,21740,6.039305555555556,22.257160151286147,9.267,19.583000000000002,-5.1,1164.1835125665882,3652.8615,-1449.0677,2300.5978999999998
985,21741,6.039583333333333,21.872123147970797,8.850999999999999,19.343,-5.089,1165.4716860057906,3655.8419000000004,-1448.3264,2298.88
