yyyy-mm-dd,BS time,MPB time,ThetaBn (deg) (Cyril),beta_proton (Halekas)
2019-07-02,15:22:19,15:47:53,70.1,0.518
2017-08-02,7:42:23,6:38:23,70.5,0.237
2019-07-12,1:57:48,2:12:46,70.6,0.326
2017-07-30,11:46:02,10:45:04,70.7,0.168
2019-11-22,18:20:45,18:02:19,70.8,0.141
2017-07-07,10:40:35,10:26:41,71,0.322
2019-11-03,2:06:33,2:51:53,71.4,0.67
2019-11-09,1:44:13,1:14:37,71.6,0.301
2019-07-13,7:10:12,7:25:39,71.7,0.17
2017-07-03,4:10:47,5:14:40,71.9,0.439
2019-07-12,12:56:03,13:15:14,72,0.159
2017-07-15,15:19:28,16:24:17,72.1,0.33
2017-08-18,13:31:09,14:35:44,72.2,0.231
2019-11-13,3:04:02,2:48:01,72.6,0.186
2017-08-06,10:28:37,10:17:14,72.8,0.262
2019-11-28,13:08:55,13:49:44,72.9,0.189
2017-07-19,19:14:38,19:57:47,73,0.443
2017-07-03,22:10:53,23:13:23,73.1,0.203
2017-07-16,14:04:14,15:04:09,73.2,0.278
2017-07-29,8:04:39,7:33:53,73.4,0.134
2019-07-02,9:47:43,9:27:56,73.6,0.579
2017-07-06,18:15:21,19:28:05,73.8,0.214
2017-12-16,18:47:37,18:19:02,73.9,0.534
2019-07-22,17:41:46,18:01:52,74,0.637
2019-07-09,22:50:49,23:04:02,74.1,0.212
2017-07-29,21:59:39,21:14:04,74.2,0.146
2019-11-11,15:03:29,14:41:11,74.3,0.124
2019-11-18,6:49:06,8:01:22,74.7,0.248
2017-12-07,6:47:35,8:08:38,74.9,0.166
2017-12-08,8:01:36,7:44:39,75.1,0.155
2017-08-20,1:09:57,2:24:02,75.3,0.233
2019-07-25,15:03:26,15:16:26,75.4,0.161
2017-12-21,12:23:07,13:24:26,75.5,0.148
2017-07-29,13:07:38,12:15:01,75.7,0.19
2017-08-05,7:35:35,7:02:20,75.8,0.182
2019-07-25,18:45:57,18:58:21,75.9,0.154
2017-07-02,14:30:25,15:29:52,76,0.156
2017-07-01,5:21:20,5:00:26,76.1,0.254
2017-12-30,16:42:12,17:45:37,76.2,0.181
2017-08-21,13:13:16,14:02:07,76.5,0.457
2017-08-09,17:27:39,18:42:15,76.6,0.144
2019-07-26,18:18:22,17:44:03,76.8,0.437
2019-11-18,3:29:20,4:27:09,76.9,0.222
2019-08-07,2:20:05,2:41:20,77,0.305
2017-12-16,5:23:35,4:51:16,77.1,0.504
2019-07-06,16:05:28,15:33:04,77.3,1.005
2017-12-18,17:32:48,18:12:41,77.4,0.152
2017-08-05,5:12:48,5:57:28,77.5,0.218
2017-12-14,22:00:44,21:28:16,77.6,0.177
2017-12-29,2:55:54,2:37:05,77.8,0.293
2017-08-10,0:58:40,0:17:04,78.1,0.162
2019-06-07,10:07:13,9:48:53,78,0.259
2017-08-10,0:58:40,0:18:07,78.1,0.162
2019-06-05,8:43:05,9:23:14,78.2,0.497
2017-12-03,19:40:58,18:35:47,78.3,0.584
2017-08-01,10:24:36,11:45:43,78.4,0.315
2017-07-05,13:49:47,13:10:29,78.6,0.377
2019-06-23,8:08:41,8:36:48,78.8,0.126
2019-07-14,17:49:10,17:24:49,79,0.519
2017-12-31,22:11:16,21:57:59,79.1,0.197
2019-08-11,7:01:12,6:12:38,79.2,0.336
2017-08-19,20:59:09,21:55:19,79.4,0.215
2017-12-30,5:55:44,5:30:10,79.5,0.224
2017-12-17,12:46:56,12:19:15,79.6,0.547
2019-08-03,12:47:10,12:09:53,79.9,0.185
2019-07-15,21:14:41,21:38:27,80,0.378
2017-12-18,11:02:44,10:46:38,80.3,0.169
2017-12-29,20:53:47,20:37:01,80.4,0.192
2019-11-22,21:47:48,21:32:33,80.5,0.13
2017-07-19,5:24:20,6:34:00,80.6,0.427
2019-06-15,2:46:51,3:12:29,80.8,0.251
2017-07-09,8:14:12,7:45:54,81,0.127
2017-12-14,17:20:38,17:01:48,81.1,0.234
2017-07-07,21:31:02,22:30:24,81.2,0.29
2017-08-14,20:15:43,20:58:18,81.3,0.775
2017-07-01,0:55:30,0:26:06,81.4,0.331
2017-12-19,6:52:45,6:47:55,81.5,0.21
2017-07-09,12:39:53,12:15:57,81.6,0.137
2017-12-27,8:13:02,9:08:04,81.7,0.941
2019-11-14,9:13:13,10:03:20,81.8,0.819
2019-11-21,11:04:47,11:52:31,81.9,0.188
2017-07-01,9:51:53,9:30:06,82.2,0.25
2019-11-28,22:27:18,22:10:51,82.3,0.135
2019-07-20,18:20:25,18:31:42,82.7,0.396
2017-07-08,2:00:03,3:07:11,82.8,0.211
2019-06-22,15:51:43,15:27:36,83.1,0.243
2017-08-10,23:34:54,22:52:51,83.3,0.173
2017-07-21,9:50:35,9:20:39,83.5,0.266
2017-07-02,4:16:33,3:43:46,83.6,0.139
2017-07-16,7:33:20,7:10:48,83.7,0.284
2019-11-05,8:27:55,9:18:28,83.8,0.194
2017-08-11,8:20:39,7:48:02,83.9,0.333
2017-08-03,12:35:53,13:20:08,84,0.221
2019-06-01,5:58:25,6:25:18,84.1,0.294
2019-06-22,1:20:46,0:57:24,84.2,0.202
2017-08-03,16:50:18,17:56:08,84.3,0.198
2017-07-06,3:26:33,2:41:40,84.4,0.409
2019-06-09,22:31:02,23:02:08,84.5,0.298
2019-06-06,15:55:12,15:38:40,84.6,0.269
2017-07-30,3:44:08,4:59:01,84.9,0.113
2017-07-15,1:34:52,2:45:15,85,0.229
2017-07-24,6:12:26,5:12:55,85.1,0.51
2017-07-21,16:24:00,17:18:03,85.2,0.239
2017-12-09,11:21:14,12:41:34,85.3,0.582
2017-07-20,22:19:54,23:25:16,85.4,0.314
2017-08-24,11:37:41,12:48:26,85.5,0.219
2019-08-16,3:37:01,2:41:16,85.7,0.167
2019-08-15,20:34:50,19:33:09,85.8,0.206
2017-07-08,6:33:32,7:44:17,86,0.172
2019-06-10,13:08:46,21:59:27,86.2,0.577
2019-06-10,13:08:46,13:40:39,86.2,0.577
2019-11-26,1:42:17,1:22:35,86.3,0.249
2019-06-19,3:51:21,3:30:40,86.4,0.3
2019-11-06,16:47:03,17:29:00,86.7,0.103
2017-08-09,11:26:15,10:36:27,86.8,0.149
2019-07-18,18:42:45,19:00:05,87,0.171
2017-08-12,13:51:32,14:43:36,87.1,0.491
2019-07-14,8:43:06,9:03:46,87.3,0.48
2017-07-04,2:57:30,4:00:27,21.7,0.551
2017-07-12,9:08:23,8:03:08,29.9,0.91
2017-07-14,19:15:25,18:52:41,14.5,0.22
2017-07-17,8:30:34,8:53:09,21.4,0.613
2017-07-20,8:54:31,9:39:25,20.1,0.501
2017-07-25,1:44:11,2:00:29,16.1,1.741
2017-07-25,4:16:46,3:50:33,28.3,0.974
2017-08-02,20:37:34,20:09:47,25.4,0.261
2017-08-07,18:42:02,17:45:18,26.6,1.01
2017-08-12,16:04:15,15:17:49,25.3,0.338
2017-08-15,9:13:22,10:38:26,19,0.563
2017-08-17,22:36:36,21:39:35,23.3,0.342
2017-08-28,11:54:56,10:39:18,21.9,1.068
2017-12-13,5:42:33,5:23:39,20.8,0.273
2017-12-15,12:41:33,14:01:35,23.1,0.737
2017-12-26,7:23:17,7:13:18,19.4,0.419
2019-06-03,8:56:57,9:47:06,29.4,0.418
2019-06-07,17:31:33,17:14:23,24.9,0.299
2019-06-08,13:44:49,14:05:28,23.7,0.252
2019-06-09,2:27:13,2:01:31,19.9,0.364
2019-06-15,12:17:17,11:41:28,26.2,0.251
2019-06-15,13:45:56,14:14:24,22,0.251
2019-06-15,17:40:35,18:01:22,23.5,0.228
2019-06-16,11:49:12,12:04:36,16.8,0.245
2019-06-17,8:10:11,7:27:40,23.7,0.778
2019-06-21,5:02:51,5:32:03,29.1,0.404
2019-06-28,16:32:15,16:43:39,24,0.656
2019-06-30,10:13:31,10:00:53,26.1,0.216
2019-06-30,21:06:55,20:53:58,17.4,0.201
2019-07-07,6:41:29,6:19:17,26.2,0.664
2019-07-08,1:01:39,0:34:53,24.4,0.563
2019-07-08,6:42:57,6:53:09,25.2,0.375
2019-07-08,10:30:43,10:38:26,20,0.349
2019-07-08,19:11:55,18:53:46,24.4,0.454
2019-07-09,6:19:09,5:52:18,27.5,0.39
2019-07-10,11:22:48,11:11:07,24.1,0.251
2019-07-10,15:08:41,14:51:25,27,0.255
