YYYY, MM, DD, orbita, MPB_time, dt
2014, 12, 12, 1, 2.8, 0.05
2014, 12, 12, 2, 7.33, 0.03
2014, 12, 12, 3, , 
2014, 12, 12, 4, , 
2014, 12, 12, 5, 21.3, 0.1
2014, 12, 25, 1, 2.35, 0.05
2014, 12, 25, 2, 6.9, 0.05
2014, 12, 25, 3, 11.45, 0.05
2014, 12, 25, 4, 16.2, 0.1
2014, 12, 25, 5, 20.6, 0.05
2015, 01, 01, 1, , 
2015, 01, 01, 2, 8.4, 0.1
2015, 01, 01, 3, 12.95, 0.05
2015, 01, 01, 4, 17.5, 0.1
2015, 01, 01, 5, 22.1, 0.05
2015, 01, 02, 1, 2.65, 0.05
2015, 01, 02, 2, ,
2015, 01, 02, 3, ,
2015, 01, 02, 4, 16.4, 0.1
2015, 01, 02, 5, ,
2015, 01, 03, 1, 1.6, 0.1
2015, 01, 03, 2, 6.1, 0.1
2015, 01, 03, 3, 10.75, 0.05
2015, 01, 03, 4, 15.35, 0.05
2015, 01, 03, 5, 20.0, 0.1
2015, 01, 04, 1, 0.5, 0.1
2015, 01, 04, 2, 5.1, 0.1
2015, 01, 04, 3, ,
2015, 01, 04, 4, ,
2015, 01, 04, 5, , 
2015, 01, 04, 6, 20.4, 0.2
2015, 01, 05, 1, 4, 0.1
2015, 01, 05, 2, ,
2015, 01, 05, 3, 13.2, 0.1
2015, 01, 05, 4, 17.7, 0.1
2015, 01, 05, 5, 22.2, 0.1
2015, 01, 06, 1, 2.9, 0.05
2015, 01, 06, 2, 7.4, 0.1
2015, 01, 06, 3, 12.05, 0.05
2015, 01, 06, 4, ,
2015, 01, 06, 5, ,
2015, 01, 07, 1, ,
2015, 01, 07, 2, 6.4, 0.1
2015, 01, 07, 3, 11.1, 0.3
2015, 01, 07, 4, 15.6, 0.2
2015, 01, 07, 5, ,
2015, 01, 08, 1, 0.70, 0.15
2015, 01, 08, 2, 5.3, 0.1
2015, 01, 08, 3, ,
2015, 01, 08, 4, 14.5, 0.1
2015, 01, 08, 5, 19.05, 0.10
2015, 01, 08, 6, 23.7, 0.1
2015, 01, 09, 1, ,
2015, 01, 09, 2, 8.8, 0.1
2015, 01, 09, 3, 13.5, 0.1
2015, 01, 09, 4, 17.95, 0.1
2015, 01, 09, 5, ,
2015, 01, 10, 1, 3.1, 0.1
2015, 01, 10, 2, ,
2015, 01, 10, 3, 12.4, 0.1
2015, 01, 10, 4, 16.85, 0.05
2015, 01, 10, 5, 21.4, 0.1
2015, 02, 18, 1, , 
2015, 02, 18, 2, 7.8, 0.1
2015, 02, 18, 3, 12.2, 0.05
2015, 02, 18, 4, 16.8, 0.05
2015, 02, 18, 5, ,
2015, 02, 19, 1, 16.2, 0.05
2015, 02, 19, 2, ,
2015, 02, 19, 3, ,
2015, 02, 19, 4, ,
2015, 02, 20, 1, 4.8, 0.1
2015, 02, 20, 2, 4.45, 0.05
2015, 02, 20, 3, ,
2015, 02, 20, 4, 18.45, 0.05
2015, 02, 20, 5, 22.85, 0.1
2015, 02, 21, 1, ,
2015, 02, 21, 2, ,
2015, 02, 21, 3, ,
2015, 02, 21, 4, 16.9, 0.2
2015, 02, 21, 5, 21.35, 0.05




































