,time,mod_B,Bx,By,Bz,r_sat
0,,,,,,6181.772246967901
1,,,,,,6181.705773581978
2,,,,,,6181.638383372847
3,,,,,,6181.571244733319
4,,,,,,6181.504148874141
5,,,,,,6181.436548250229
6,,,,,,6181.368787777315
7,,,,,,6181.300313696132
8,,,,,,6181.232091000667
9,,,,,,6181.164119696292
10,,,,,,6181.095779808957
11,,,,,,6181.026315438143
12,,,,,,6180.956756468104
13,,,,,,6180.888414948999
14,,,,,,6180.818738804524
15,,,,,,6180.7495244453785
16,,,,,,6180.678975380659
17,,,,,,6180.60867776427
18,,,,,,6180.538631601756
19,,,,,,6180.468080763383
20,,,,,,6180.397161989204
21,,,,,,6180.3257386430505
22,,,,,,6180.2551115115275
23,,,,,,6180.182815793478
24,,,,,,6180.111935269162
25,,,,,,6180.039523633568
26,,,,,,6179.96777073438
27,,,,,,6179.894894077839
28,,,,,,6179.8222689346185
29,,,,,,6179.749895310448
30,,,,,,6179.677154416413
31,,,,,,6179.604527695839
32,,,,,,6179.530158930318
33,,,,,,6179.457203592563
34,,,,,,6179.38333813873
35,,,,,,6179.308754747584
36,,,,,,6179.234422815223
37,,,,,,6179.159937738827
38,,,,,,6179.0854906329805
39,,,,,,6179.01053886262
40,,,,,,6178.935838681471
41,,,,,,6178.860557582841
42,,,,,,6178.78498614825
43,,,,,,6178.708910143947
44,,,,,,6178.633009351877
45,,,,,,6178.556603808058
46,,,,,,6178.480664928311
47,,,,,,6178.404006309898
48,,,,,,6178.3269815074
49,,,,,,6178.250208368789
50,0.01513888888888889,2.3451260456529837,1.4957,-1.7662,0.3782,6178.172312972001
51,0.015416666666666667,2.3451903035787947,1.4857999999999998,-1.7706,0.39660000000000006,6178.095286902348
52,0.015694444444444445,2.347550719366889,1.4786,-1.7769,0.40909999999999996,6178.017678989729
53,0.015972222222222224,2.347380934147673,1.4685,-1.7816,0.4238,6177.939782410025
54,0.01625,2.3493913126595154,1.4596,-1.7877,0.4397,6177.861303925916
55,0.01652777777777778,2.351038164301039,1.4506000000000001,-1.7919999999999998,0.4603,6177.782537184945
56,0.016805555555555556,2.3523077902349425,1.4426999999999999,-1.7952999999999997,0.47840000000000005,6177.704562082334
57,0.017083333333333332,2.353727456610047,1.4375,-1.7965,0.49620000000000003,6177.625325876525
58,0.01736111111111111,2.3558419747512778,1.4321000000000002,-1.8,0.509,6177.546480528303
59,0.017638888888888888,2.3576341531289366,1.425,-1.8045999999999998,0.5208,6177.46713055172
60,0.017916666666666668,2.3576824722595706,1.4198000000000002,-1.8062,0.5296,6177.3880323183985
61,0.018194444444444447,2.360168150789261,1.4135,-1.8124,0.5363,6177.308429446677
62,0.018472222222222223,2.3603555897364275,1.4106999999999998,-1.8131,0.5421,6177.228461434766
63,0.01875,2.361000148242266,1.4053,-1.8156,0.5505,6177.148527606572
64,0.019027777777777775,2.360743838284874,1.4007000000000003,-1.8156999999999999,0.5607,6177.067690022424
65,0.019305555555555555,2.362007004646684,1.3947,-1.82,0.5670000000000001,6176.987503147066
66,0.01958333333333333,2.3609691526997976,1.3914999999999997,-1.8178,0.5775,6176.9069512043025
67,0.01986111111111111,2.3570777691879408,1.385,-1.8135,0.5906,6176.825894544154
68,0.020138888888888887,2.356558550089516,1.3788,-1.8120000000000003,0.6074,6176.744473058432
69,0.020416666666666666,2.356073228912887,1.3719,-1.8092,0.6291,6176.663303398391
70,0.020694444444444442,2.3548890207396185,1.3613,-1.8106,0.6435000000000001,6176.581629132903
71,0.020972222222222222,2.3543277957837563,1.3538,-1.8082,0.6637000000000001,6176.500206695064
72,0.02125,2.351713479571863,1.3516,-1.8026999999999997,0.6738000000000001,6176.417663358701
73,0.021527777777777778,2.355175038081034,1.3517000000000001,-1.8044,0.6811,6176.335909232919
74,0.021805555555555557,2.353054451133675,1.349,-1.7995,0.6920000000000001,6176.253869657843
